model_key,metric,metric_label,factor_a,factor_b,f_a,p_a,f_b,p_b,f_interaction,p_interaction,eta_squared_a,eta_squared_b,eta_squared_interaction,n,test,config,workload,f_statistic,p_value,eta_squared
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,DP2,bs128_out500,1370304.8690551391,2.159354742421026e-45,0.9999868644095443
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,DP2,bs128_out500,78694.24852775957,3.1724253060280712e-34,0.9997713189454416
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,DP2,bs256_out2000,3931118.1948747756,1.6408378318936238e-49,0.9999954211711048
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,DP2,bs256_out2000,10934408.682573238,1.646507631899153e-53,0.9999983538231567
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,DP2,bs256_out2000,3880468.9382542586,1.843964057702926e-49,0.9999953614068836
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,DP2,bs256_out2000,201677.80955162345,6.659983326727923e-38,0.9999107566982166
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,DP2,bs256_out500,2695244.1899538063,4.9013951130607056e-48,0.9999933216144739
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,DP2,bs256_out500,15929393.209100205,5.570963177937344e-55,0.9999988700147311
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,DP2,bs256_out500,2006057.120204302,6.992051306921382e-47,0.9999910272552518
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,DP2,bs256_out500,120902.34974621526,6.656748060136052e-36,0.9998511416809663
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,PP2,bs128_out500,115111.39730778743,1.0353377638503247e-35,0.9998436541802452
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,PP2,bs128_out500,164219.00642558344,4.231650723084317e-37,0.9998904022887916
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,PP2,bs128_out500,211086.60038410337,4.4183993362370877e-38,0.9999147342124839
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,PP2,bs128_out500,3394.7170238828494,5.872977642065817e-22,0.9947256101592883
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,PP2,bs256_out2000,23462.891612134357,1.69607944622183e-29,0.999233419228821
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,PP2,bs256_out2000,96495.31055338794,5.063829969468384e-35,0.9998134972275143
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,PP2,bs256_out2000,116696.53356703941,9.154471388837236e-36,0.9998457775612863
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,PP2,bs256_out2000,2429.9879999226405,1.1691921131994993e-20,0.9926470227792895
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,PP2,bs256_out500,181252.7902154302,1.7409910311321076e-37,0.999900701045223
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,PP2,bs256_out500,224884.86787697664,2.499126729405093e-38,0.9999199654492187
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,PP2,bs256_out500,18734.875683439073,1.2832296204750794e-28,0.9990401472124137
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,PP2,bs256_out500,969.9385631074739,4.1376032374894493e-17,0.98178024355747
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,Single GPU,bs128_out500,96893.368873362,4.879679838191339e-35,0.999814263277784
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,Single GPU,bs128_out500,915209.499112595,8.165257349653977e-44,0.9999803327587761
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,Single GPU,bs128_out500,1094228.786965634,1.635660902138061e-44,0.9999835503286699
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,Single GPU,bs128_out500,72945.1629493344,6.278312457224636e-34,0.9997533001685738
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,Single GPU,bs256_out2000,21896.168568686815,3.157644124583138e-29,0.9991786136013519
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,Single GPU,bs256_out2000,9921.292722652575,3.889398727330534e-26,0.9981890059481822
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,Single GPU,bs256_out2000,256354.45323704663,7.689517110252898e-39,0.9999297896487215
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,Single GPU,bs256_out2000,18081.905056942054,1.765368404511395e-28,0.9990055196453593
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,Single GPU,bs256_out500,109259.1243550074,1.6557564316032791e-35,0.9998352811706362
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,Single GPU,bs256_out500,932998.1410044358,6.866397408930964e-44,0.9999807077292564
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,Single GPU,bs256_out500,776583.150297781,3.580550825657904e-43,0.999976822079142
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,Single GPU,bs256_out500,73774.72036713418,5.670920603017751e-34,0.9997560735000621
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,TP2,bs128_out500,8594.43497309786,1.4125467182791688e-25,0.997909998733665
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,TP2,bs128_out500,141796.16591688097,1.5859001878832453e-36,0.9998730733288624
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,TP2,bs128_out500,39068.51895361215,1.7281230084868006e-31,0.999539483164992
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,TP2,bs128_out500,3291.2874817224315,7.747877833017384e-22,0.9945607626719002
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,TP2,bs256_out2000,18070.928408746924,1.7750336035929005e-28,0.9990049161789316
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,TP2,bs256_out2000,73403.797490228,5.934038815447293e-34,0.9997548411968203
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,TP2,bs256_out2000,47034.94780063236,3.254773901018147e-32,0.999617452235378
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,TP2,bs256_out2000,2429.254965788964,1.172348968819299e-20,0.9926448203184249
,duration_s,Duration (s),,,,,,,,,,,,,one_way_model,TP2,bs256_out500,79759.07839097078,2.8110497450244674e-34,0.9997743712810365
,throughput_tok_s,Throughput (tok/s),,,,,,,,,,,,,one_way_model,TP2,bs256_out500,221567.67602525422,2.8567241683369305e-38,0.9999187673123877
,mj_per_token,Energy per token (mJ),,,,,,,,,,,,,one_way_model,TP2,bs256_out500,93108.35257780814,6.984125170308434e-35,0.9998067142167422
,gpu_avg_power_w,Avg GPU power (W),,,,,,,,,,,,,one_way_model,TP2,bs256_out500,5439.875050210032,8.573551974571861e-24,0.9967020131764801
